名称,値,型番,数量,単価,URL
# IN-12 Module
IN-12,,IN-12A/B,1
ニキシー管ピン,,,12,6
ATmega48,,ATmega48-20AU,1,150,https://akizukidenshi.com/catalog/g/gI-08437/
トランジスタアレイ,50V 500mA,TD62083AFNG,1,40,https://akizukidenshi.com/catalog/g/gI-12728/
デュアルNPNトランジスタ,60V 150mA,HN1C01FU,1,10,https://akizukidenshi.com/catalog/g/gI-13728/
チップNPNトランジスタ,50V 100mA,2PD601AR,1,2.5,https://akizukidenshi.com/catalog/g/gI-02231/
スイッチングダイオード,80V 100mA,MA6Z121,1,7.5,https://akizukidenshi.com/catalog/g/gI-08229/
ツェナーダイオード,36V,,1,10,https://akizukidenshi.com/catalog/g/gI-08040/
ツェナーダイオード,12V,,1,7.5,https://akizukidenshi.com/catalog/g/gI-07432/
マイコン内蔵RGB LED,,SK6812MINI,1,20,https://akizukidenshi.com/catalog/g/gI-15477/
3216抵抗,15kΩ,,1
1608抵抗,1MΩ 100kΩ 10kΩ 1kΩ
2.54mmL型ピンヘッダ,2x3,,1,7.7,https://akizukidenshi.com/catalog/g/gC-00148/
2.54mmL型ピンソケット,2x3,,1,15,https://akizukidenshi.com/catalog/g/gC-13419/
# 部品 ¥350
# ニキシー管 ¥300
# 基板 ¥7
# 計 ¥650

# Colon Module ()
INS-1,,,2
ATTiny202,,ATTINY202-SSNR,1,40,https://akizukidenshi.com/catalog/g/gI-15731/
フォトカプラ,300V 150mA,TLP187,2,35,https://akizukidenshi.com/catalog/g/gI-15397/
サイドビューマイコン内蔵LED,,S6812Side,1,24,https://akizukidenshi.com/catalog/g/gI-13447/
1608抵抗,270kΩ 10kΩ
連結ピンソケット,2x3,,1,15,https://akizukidenshi.com/catalog/g/gC-08336/
# 部品 ¥150
# ニキシー管 ¥100
# 基板 ¥50
# 計 ¥300

# Nixie Power Module
ATTiny202,,ATTINY202-SSNR,1,40,https://akizukidenshi.com/catalog/g/gI-15731/
DCDCコンバータIC,,TJ34063,1,40,https://akizukidenshi.com/catalog/g/gI-13461/
